name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
SAMSUNG SMARTPHONE GALAXYA36 5G 8G128GB WHITE SAMSUNG,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3080801-smartphone-galaxya36-5g-8g128gb-white-samsung.html,electroplanet,2026-04-21T19:43:22.331752
SAMSUNG SMARTPHONE GALAXYA36 5G 8G128GB LAVENDER SAMSUNG,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3080800-smartphone-galaxya36-5g-8g128gb-lavender-samsung.html,electroplanet,2026-04-21T19:43:27.041694
SAMSUNG SMARTPHONE GALAXYA36 5G 8G128GB LIME SAMSUNG,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3080799-smartphone-galaxya36-5g-8g128gb-lime-samsung.html,electroplanet,2026-04-21T19:43:29.266291
SAMSUNG SMARTPHONE GALAXYA36 5G 8G256GB WHITE SAMSUNG,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3080805-smartphone-galaxya36-5g-8g256gb-white-samsung.html,electroplanet,2026-04-21T19:43:31.458136
SAMSUNG SMARTPHONE GALAXYA36 5G 8G256GB LAVENDER SAMSUNG,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3080804-smartphone-galaxya36-5g-8g256gb-lavender-samsung.html,electroplanet,2026-04-21T19:43:34.576742
SAMSUNG GALAXY S25 12GB 512GB NAVY SAMSUNG,samsung,S25,9499.0,10999.0,DH,14%,,,https://www.electroplanet.ma/p3073041-galaxy-s25-12gb-512gb-navy-samsung.html,electroplanet,2026-04-21T19:43:37.558112
SAMSUNG GALAXY S25ULTRA 12GB 512GB TITANIUM BLACK SAMSUNG,samsung,S25,13499.0,15999.0,DH,16%,,,https://www.electroplanet.ma/p3073055-galaxy-s25ultra-12gb-512gb-titanium-black-samsung.html,electroplanet,2026-04-21T19:43:40.226189
SAMSUNG GALAXY SMARTTAG2 WHITE SAMSUNG,samsung,Unknown,249.0,,DH,,,,https://www.electroplanet.ma/p3070742-galaxy-smarttag2-white-samsung.html,electroplanet,2026-04-21T19:43:42.416744
SAMSUNG COVER GALAXY Z FLIP6 FLIPSUIT LED CASEGRAY SAMSUN,samsung,Unknown,39.0,199.0,DH,80%,,,https://www.electroplanet.ma/p3044570-cover-galaxy-z-flip6-flipsuit-led-casegray-samsun.html,electroplanet,2026-04-21T19:43:44.905360
SAMSUNG MONTRE GALAXY WATCH FE 40MM SILVER BLUEBND SAMSUN,samsung,Unknown,2099.0,2499.0,DH,16%,,,https://www.electroplanet.ma/p3044577-montre-galaxy-watch-fe-40mm-silver-bluebnd-samsun.html,electroplanet,2026-04-21T19:43:47.412696
SAMSUNG MONTRE GALAXY WATCH7 - SMALL (40MM) CREAM SAMSUNG,samsung,Unknown,1899.0,2999.0,DH,37%,,,https://www.electroplanet.ma/p3043545-montre-galaxy-watch7-small-40mm-cream-samsung.html,electroplanet,2026-04-21T19:43:49.730332
SAMSUNG ECOUTEURS GALAXY BUDS 3 WHITE SAMSUNG,samsung,Unknown,1399.0,1499.0,DH,7%,,,https://www.electroplanet.ma/p3043517-ecouteurs-galaxy-buds-3-white-samsung.html,electroplanet,2026-04-21T19:43:52.148949
SAMSUNG ECOUTEURS GALAXY BUDS 3 SILVER SAMSUNG,samsung,Unknown,1399.0,1499.0,DH,7%,,,https://www.electroplanet.ma/p3043516-ecouteurs-galaxy-buds-3-silver-samsung.html,electroplanet,2026-04-21T19:43:54.879345
SAMSUNG GALAXY FIT3 SM-R390NZSAMEA SILVER SAMSUNG,samsung,Unknown,549.0,599.0,DH,8%,,,https://www.electroplanet.ma/p3026161-galaxy-fit3-sm-r390nzsamea-silver-samsung.html,electroplanet,2026-04-21T19:44:03.930683
SAMSUNG GALAXY FIT3 SM-R390NZAAMEA GRAY SAMSUNG,samsung,Unknown,549.0,599.0,DH,8%,,,https://www.electroplanet.ma/p3026160-galaxy-fit3-sm-r390nzaamea-gray-samsung.html,electroplanet,2026-04-21T19:44:09.378825
SAMSUNG GALAXY FIT3 SM-R390NID...,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p3026159-galaxy-fit3-sm-r390nidamea-pinkgold-samsung.html,electroplanet,2026-04-21T19:45:06.125456
SAMSUNG SM-R190,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p2817243-samsung-galaxy-buds-pro-sm-r190-noir.html,electroplanet,2026-04-21T19:45:33.691117
SAMSUNG SM-R220,samsung,Unknown,,,DH,,,,https://www.electroplanet.ma/p2579224-samsung-galaxy-fit2-sm-r220-scarlet.html,electroplanet,2026-04-21T19:45:36.964943
