name,brand,model,price,currency,old_price,discount,rating,reviews,url,source_site,scraped_at
"Samsung Galaxy A55 - 6,6"" - 8GB RAM + 256GB ROM -  Awesome Lilac",samsung,A55,5749.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a55-66-8gb-ram-256gb-rom-awesome-lilac-64936787.html,jumia_ma,2026-04-21T19:26:39.469491
"Samsung Galaxy A07 – Smartphone 4G – 4 Go RAM + 64 Go ROM – Écran 6.7"" HD+ – Batterie 5000 mAh – Double SIM – Noir+ adaptateur gratuit",samsung,A07,1939.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a07-smartphone-4g-4-go-ram-64-go-rom-ecran-6.7-hd-batterie-5000-mah-double-sim-noir-adaptateur-gratuit-67407976.html,jumia_ma,2026-04-21T19:26:43.293846
"Samsung  Galaxy A06 – 6,6"" HD – 6 Go RAM + 128 Go ROM – Noir – Double SIM+ incassable et les écouteurs sans fils gratuits",samsung,A06,1675.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a06-66-hd-6-go-ram-128-go-rom-noir-double-sim-incassable-et-les-ecouteurs-sans-fils-gratuits-67209183.html,jumia_ma,2026-04-21T19:26:43.294683
"Samsung Galaxy S25 - 6,2"" - 256 Go - 12 Go Ram - Mint",samsung,S25,11490.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-s25-62-256-go-12-go-ram-mint-66067133.html,jumia_ma,2026-04-21T19:26:43.295574
"Samsung Galaxy A36 - 6.7"" – 8GB + 256GB – Awesome Lime",samsung,Unknown,4990.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a36-6.7-8gb-256gb-awesome-lime-66392310.html,jumia_ma,2026-04-21T19:26:43.296778
Samsung Galaxy S25 Ultra - 6.9'' - 1 TB - 12 Go RAM - Titanium Black,samsung,S25 Ultra,20990.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-s25-ultra-6.9-1-tb-12-go-ram-titanium-black-66067201.html,jumia_ma,2026-04-21T19:26:43.298427
"Samsung Galaxy A04s - 6.5""- 128 Go - 4 Go RAM - Copper",samsung,Unknown,1299.0,Dhs,1685.0,23%,,,https://www.jumia.ma/samsung-galaxy-a04s-6.5-128-go-4-go-ram-copper-65328977.html,jumia_ma,2026-04-21T19:26:43.299612
"Samsung Galaxy A36 - 6.7"" – 8GB + 128GB – Awesome Lime",samsung,Unknown,3329.0,Dhs,4490.0,26%,,,https://www.jumia.ma/samsung-galaxy-a36-6.7-8gb-128gb-awesome-lime-66392333.html,jumia_ma,2026-04-21T19:26:43.300969
"Samsung Z FLIP 6 - 6.7"" - 12 GB + 512 GB + Free Flipsuit case + Single wireless charger + Powerbank - Mint",samsung,Z Flip 6,15990.0,Dhs,,,,,https://www.jumia.ma/samsung-z-flip-6-6.7-12-gb-512-gb-free-flipsuit-case-single-wireless-charger-powerbank-mint-65386843.html,jumia_ma,2026-04-21T19:26:43.302145
"Samsung A17 6.7"" (128 Go - 4 Go) Amoled 90Hz - Helio G99 - 5000mAh/25W - Gray",samsung,Unknown,1899.0,Dhs,2099.0,10%,,,https://www.jumia.ma/samsung-a17-6.7-128-go-4-go-amoled-90hz-helio-g99-5000mah25w-gray-67248133.html,jumia_ma,2026-04-21T19:26:43.303955
"Samsung A26 5G – Smartphone 5G – 8 Go RAM + 256 Go ROM – Écran 6.5"" FHD+ 120Hz – Noir – Double SIM+ l'incassable et les écouteurs sans fils gratuits",samsung,Unknown,3069.0,Dhs,,,,,https://www.jumia.ma/a26-5g-smartphone-5g-8-go-ram-256-go-rom-ecran-6.5-fhd-120hz-noir-double-sim-lincassable-et-les-ecouteurs-sans-fils-gratuits-samsung-mpg1547726.html,jumia_ma,2026-04-21T19:26:43.304796
"Samsung A05 – 6.7"" – 128 Go – 4 Go RAM – IPS LCD – 5000 mAh – 50MP – Noir",samsung,A05,1449.0,Dhs,,,,,https://www.jumia.ma/samsung-a05-6.7-128-go-4-go-ram-ips-lcd-5000-mah-50mp-noir-64881532.html,jumia_ma,2026-04-21T19:26:43.305440
"Samsung Galaxy S25 - 6,2"" - 512 Go - 12 Go Ram - Silver Shadow",samsung,S25,12990.0,Dhs,,,,,https://www.jumia.ma/galaxy-s25-12gb-128gb-6.2-blue-navy-samsung-mpg1515598.html,jumia_ma,2026-04-21T19:26:43.306181
"Samsung Z FLIP 6 - 6.7"" - 12 GB + 256 GB + Free Flipsuit case + Single wireless charger + Powerbank - Blue",samsung,Z Flip 6,14490.0,Dhs,,,,,https://www.jumia.ma/samsung-z-flip-6-6.7-12-gb-256-gb-free-flipsuit-case-single-wireless-charger-powerbank-blue-65379267.html,jumia_ma,2026-04-21T19:26:43.306961
"Samsung Galaxy A05s – Smartphone 4G – 4 Go RAM + 128 Go ROM – Écran 6,7"" FHD+ – Batterie 5000 mAh – Double SIM – Noir+les écouteurs sans fils cadeaux",samsung,A05,1679.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a05s-smartphone-4g-4-go-ram-128-go-rom-ecran-67-fhd-batterie-5000-mah-double-sim-noirles-ecouteurs-sans-fils-cadeaux-67334952.html,jumia_ma,2026-04-21T19:26:43.307864
Samsung Galaxy S26 Ultra – 12GB RAM / 512GB - Mauve / Cobalt Violet - Reconditionné,samsung,Unknown,12875.0,Dhs,13375.0,4%,,,https://www.jumia.ma/samsung-galaxy-s26-ultra-12gb-ram-512gb-mauve-cobalt-violet-reconditionne-67763536.html,jumia_ma,2026-04-21T19:26:43.308743
"Samsung Galaxy A56 - 6.7"" – 8GB + 128GB – Awesome Light Grey",samsung,Unknown,5490.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a56-6.7-8gb-128gb-awesome-light-grey-66392388.html,jumia_ma,2026-04-21T19:26:43.309946
"Samsung Galaxy A06 – 6,6"" HD – 6 Go RAM + 128 Go ROM – Noir – Double SIM+ chargeur cadeau",samsung,A06,1659.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a06-66-hd-6-go-ram-128-go-rom-noir-double-sim-chargeur-cadeau-67209172.html,jumia_ma,2026-04-21T19:26:43.310810
Samsung Galaxy S25 FE - 8 Go / 256 Go - Navy / Bleu Nuit - Neuf,samsung,S25,6799.0,Dhs,7899.0,14%,,,https://www.jumia.ma/samsung-galaxy-s25-fe-8-go-256-go-navy-bleu-nuit-neuf-67760349.html,jumia_ma,2026-04-21T19:26:43.311923
"Samsung Galaxy A36 5G – 8 Go RAM, 256 Go ROM – Écran 6.5"" FHD+ – Awesome Black – Double SIM+ chargeur gratuits",samsung,Unknown,3849.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a36-5g-8-go-ram-256-go-rom-ecran-6.5-fhd-awesome-black-double-sim-chargeur-gratuits-67329577.html,jumia_ma,2026-04-21T19:26:43.312763
Samsung Galaxy S25 Ultra - 6.9'' - 1 TB - 12 Go RAM - Titanium Whitesilver,samsung,S25 Ultra,20990.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-s25-ultra-6.9-1-tb-12-go-ram-titanium-whitesilver-66067182.html,jumia_ma,2026-04-21T19:26:43.315007
Samsung  Galaxy A16 4GB + 128GB - Gray - 2 ans de garantie,samsung,Unknown,1759.0,Dhs,1799.0,2%,,,https://www.jumia.ma/samsung-galaxy-a16-4gb-128gb-gray-2-ans-de-garantie-67112644.html,jumia_ma,2026-04-21T19:26:43.316949
"Samsung Galaxy A06 – 6,7"" HD+ – 6 Go RAM – 128 Go ROM – Double SIM – Batterie Longue Durée – Noir Élégant+ les écouteurs et l'incassable cadeaux",samsung,A06,1520.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a06-67-hd-6-go-ram-128-go-rom-double-sim-batterie-longue-duree-noir-elegant-les-ecouteurs-et-lincassable-cadeaux-67200297.html,jumia_ma,2026-04-21T19:26:43.318147
"Samsung A06 – 6.7"" – 128 Go – 6 Go RAM – Helio G85 – 5000 mAh/25W – 50MP – Black",samsung,A06,1499.0,Dhs,,,,,https://www.jumia.ma/samsung-a06-6.7-128-go-6-go-ram-helio-g85-5000-mah25w-50mp-black-67598943.html,jumia_ma,2026-04-21T19:26:43.319256
"Samsung Z FLIP 6 - 6.7"" - 12 GB + 512 GB + Free Flipsuit case + Single wireless charger + Powerbank - Silver Shadow",samsung,Z Flip 6,15990.0,Dhs,,,,,https://www.jumia.ma/samsung-z-flip-6-6.7-12-gb-512-gb-free-flipsuit-case-single-wireless-charger-powerbank-silver-shadow-65584085.html,jumia_ma,2026-04-21T19:26:43.320466
"Samsung Galaxy A26 - 6.7"" – 8GB + 128GB – Black",samsung,Unknown,3749.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a26-6.7-8gb-128gb-black-66392438.html,jumia_ma,2026-04-21T19:26:43.322238
Samsung Galaxy S23 Ultra - Noir 8 GB / 256 GB Noir - AMOLED 120 Hz - 5000 mAh - Reconditionné,samsung,S23 Ultra,6500.0,Dhs,9899.0,34%,,,https://www.jumia.ma/samsung-galaxy-s23-ultra-noir-8-gb-256-gb-noir-amoled-120-hz-5000-mah-reconditionne-67739288.html,jumia_ma,2026-04-21T19:26:43.323171
"Samsung Galaxy S26 – 6,3"" – 12GB RAM + 256 GB ROM – Sky Blue",samsung,Unknown,9390.0,Dhs,9990.0,6%,,,https://www.jumia.ma/samsung-galaxy-s26-63-12gb-ram-256-gb-rom-sky-blue-67758537.html,jumia_ma,2026-04-21T19:26:43.324201
"Samsung Galaxy A56 - 6.7"" – 8GB + 128GB – Awesome Olive",samsung,Unknown,5490.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-a56-6.7-8gb-128gb-awesome-olive-66392393.html,jumia_ma,2026-04-21T19:26:43.325219
Samsung GALAXY A35 256+8 - NAVY,samsung,A35,2999.0,Dhs,3399.0,12%,,,https://www.jumia.ma/samsung-galaxy-a35-2568-navy-67756918.html,jumia_ma,2026-04-21T19:26:43.326277
"Samsung Galaxy A03 – 6.5"" – 4 Go RAM – 64 Go ROM – 5000 mAh – 48 MP – Dual Sim – Noir",samsung,Unknown,1440.0,Dhs,,,3,1,https://www.jumia.ma/galaxy-a03-4g-ram-64-g-rom-6.5-5000-mah-48mp-dual-sim-noir-samsung-mpg1395261.html,jumia_ma,2026-04-21T19:26:43.327189
"Samsung Galaxy Z Flip5 - 6.7"" - 8GB + 256GB - Graphite",samsung,Unknown,11990.0,Dhs,,,,,https://www.jumia.ma/samsung-galaxy-z-flip5-6.7-8gb-256gb-graphite-64155106.html,jumia_ma,2026-04-21T19:26:43.328041
"Samsung Z FLIP 6 - 6.7"" - 12 GB + 512 GB + Free Flipsuit case + Single wireless charger + Powerbank - Blue",samsung,Z Flip 6,15990.0,Dhs,,,,,https://www.jumia.ma/samsung-z-flip-6-6.7-12-gb-512-gb-free-flipsuit-case-single-wireless-charger-powerbank-blue-65386870.html,jumia_ma,2026-04-21T19:26:43.328695
